delivery_id,order_id,delivery_status,delivery_time,rider_id
1,6253,Delivered,10:51:51,20
2,4685,Delivered,16:59:50,27
3,1732,Delivered,21:44:26,24
4,4743,Delivered,10:59:31,11
5,4522,Delivered,20:49:44,12
6,6341,Delivered,10:12:29,27
7,577,Delivered,17:05:58,22
8,5203,Delivered,11:40:41,24
9,6364,Delivered,23:42:51,28
10,440,Delivered,11:26:04,30
11,2751,Delivered,22:02:50,12
12,7488,Delivered,12:32:51,2
13,5273,Delivered,19:02:56,20
14,5654,Delivered,19:10:58,25
15,4000,Delivered,13:14:32,29
16,6034,Delivered,23:31:55,1
17,583,Delivered,21:04:02,11
18,9931,Delivered,10:19:11,14
19,7052,Delivered,14:12:13,29
20,8159,Delivered,15:27:13,15
21,9897,Delivered,11:48:38,11
22,2250,Delivered,17:54:20,25
23,4641,Delivered,17:53:13,3
24,9486,Delivered,23:47:53,32
25,4948,Delivered,18:41:40,7
26,9921,Delivered,19:10:41,8
27,1964,Delivered,15:51:38,13
28,8244,Delivered,17:53:14,24
29,6591,Delivered,08:06:34,12
30,8848,Delivered,18:01:35,32
31,322,Delivered,17:25:09,23
32,2679,Delivered,19:52:28,28
33,4626,Delivered,17:48:46,16
34,4950,Delivered,13:41:54,6
35,8329,Delivered,12:02:13,4
36,3338,Delivered,16:34:32,2
37,5590,Delivered,17:49:06,31
38,252,Delivered,22:42:46,14
39,3974,Delivered,12:27:24,4
40,6631,Delivered,19:52:11,9
41,5548,Delivered,14:47:22,4
42,36,Delivered,13:58:17,6
43,8363,Delivered,20:02:40,1
44,1514,Delivered,12:40:22,23
45,9318,Delivered,15:01:10,1
46,40,Delivered,17:52:35,3
47,4820,Delivered,17:13:51,23
48,3466,Delivered,18:52:05,31
49,1761,Delivered,10:21:58,15
50,2305,Delivered,22:10:10,4
51,3724,Delivered,11:11:09,19
52,8285,Delivered,15:06:46,5
53,4994,Delivered,21:59:51,31
54,8128,Delivered,12:33:46,20
55,3033,Delivered,21:59:10,8
56,7939,Delivered,17:50:53,25
57,3040,Delivered,23:00:59,15
58,9656,Delivered,19:19:36,34
59,2546,Delivered,21:07:13,26
60,2593,Delivered,09:25:00,22
61,1189,Delivered,13:43:06,27
62,7967,Delivered,18:28:23,2
63,6078,Delivered,18:42:41,31
64,108,Delivered,18:54:24,1
65,1316,Delivered,08:55:08,23
66,8188,Delivered,11:40:28,29
67,2754,Delivered,10:14:34,10
68,9754,Delivered,18:16:18,3
69,6232,Delivered,16:43:31,15
70,2877,Delivered,18:56:09,8
71,5324,Delivered,17:19:58,25
72,800,Delivered,14:46:06,32
73,3571,Delivered,08:59:49,12
74,2895,Delivered,09:00:04,28
75,2928,Delivered,19:13:58,19
76,8179,Delivered,18:15:20,33
77,972,Delivered,19:15:36,10
78,6688,Delivered,14:15:56,8
79,8576,Delivered,14:22:19,26
80,2021,Delivered,10:23:54,2
81,9055,Delivered,13:02:01,24
82,953,Delivered,19:04:53,22
83,5360,Delivered,21:40:21,21
84,3858,Delivered,18:46:03,26
85,5862,Delivered,13:04:31,32
86,3146,Delivered,20:34:36,33
87,3306,Delivered,22:37:19,13
88,3007,Delivered,22:31:30,19
89,9002,Delivered,12:11:44,20
90,7771,Delivered,08:26:15,8
91,7439,Delivered,11:37:35,6
92,7943,Delivered,08:18:59,26
93,9239,Delivered,08:43:37,25
94,1057,Delivered,14:00:14,10
95,3155,Delivered,12:57:23,23
96,3788,Delivered,10:42:54,29
97,9190,Delivered,09:01:14,20
98,7826,Delivered,18:16:14,2
99,7540,Delivered,13:20:08,12
100,7232,Delivered,12:52:59,3
101,765,Delivered,21:49:09,30
102,5020,Delivered,15:02:32,28
103,4904,Delivered,15:26:04,23
104,8094,Delivered,22:27:47,33
105,6844,Delivered,18:57:40,4
106,2166,Delivered,20:42:17,6
107,1863,Delivered,20:46:50,10
108,7851,Delivered,23:38:31,29
109,9124,Delivered,12:26:31,1
110,2341,Delivered,14:25:22,4
111,5528,Delivered,11:01:34,2
112,6744,Delivered,09:37:15,4
113,4004,Delivered,19:48:43,3
114,1124,Delivered,13:33:35,2
115,8710,Delivered,08:34:09,3
116,4050,Delivered,16:00:21,11
117,7641,Delivered,16:18:06,21
118,766,Delivered,17:09:18,4
119,2345,Delivered,08:15:59,4
120,4072,Delivered,17:31:54,21
121,7217,Delivered,08:35:58,22
122,4217,Delivered,20:58:15,29
123,7953,Delivered,17:30:53,3
124,5971,Delivered,10:04:55,25
125,3351,Delivered,14:46:49,17
126,4696,Delivered,10:53:45,3
127,3400,Delivered,20:56:10,25
128,4082,Delivered,21:52:06,31
129,9150,Delivered,18:04:11,9
130,1225,Delivered,13:16:06,32
131,6293,Delivered,12:06:27,14
132,3123,Delivered,16:11:24,25
133,511,Delivered,16:31:52,19
134,5795,Delivered,18:07:52,15
135,8182,Delivered,23:54:48,5
136,9418,Delivered,22:47:02,23
137,97,Delivered,15:31:55,31
138,6682,Delivered,14:10:46,16
139,1513,Delivered,10:28:28,2
140,8792,Delivered,17:43:04,5
141,120,Delivered,09:46:07,13
142,7792,Delivered,20:50:58,2
143,6518,Delivered,12:06:37,10
144,34,Delivered,14:06:56,16
145,7888,Delivered,13:14:00,19
146,6831,Delivered,19:25:15,16
147,5422,Delivered,10:20:02,11
148,1069,Delivered,10:45:33,13
149,1348,Delivered,21:50:13,25
150,4748,Delivered,16:08:58,2
151,6006,Delivered,14:26:59,15
152,6040,Delivered,12:14:02,22
153,3818,Delivered,22:36:54,33
154,8447,Delivered,14:06:51,12
155,5270,Delivered,21:17:09,5
156,6898,Delivered,23:51:13,22
157,5310,Delivered,18:15:47,1
158,32,Delivered,12:15:18,30
159,5675,Delivered,08:04:39,1
160,4387,Delivered,16:32:37,13
161,30,Delivered,15:45:49,22
162,4203,Delivered,15:58:00,25
163,7508,Delivered,15:58:25,11
164,736,Delivered,17:34:48,14
165,2068,Delivered,22:39:18,17
166,107,Delivered,14:00:54,3
167,9645,Delivered,09:33:45,34
168,8895,Delivered,13:36:28,29
