order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,8,4,Egg Curry,2023-10-09,13:14:08,Completed,738
2,6,55,Chicken Biryani,2023-01-31,11:13:14,Completed,207
3,13,70,Paneer Lababdar,2023-08-14,17:37:17,Completed,343
4,28,44,Mutton Rogan Josh,2023-06-09,13:48:21,Completed,274
5,25,13,Pasta Alfredo,2023-12-19,19:16:51,Completed,650
6,8,49,Paneer Butter Masala,2024-07-19,14:53:40,Completed,550
7,13,9,Chicken Biryani,2024-11-08,13:49:18,Completed,418
8,7,49,Mutton Rogan Josh,2024-04-09,20:53:23,Completed,559
9,23,27,Fish Curry,2023-10-01,21:59:43,Completed,355
10,16,21,Butter Chicken,2024-01-24,14:59:40,Completed,404
11,21,8,Burger,2023-02-02,22:20:25,Completed,247
12,14,41,Burger,2024-11-02,17:25:56,Completed,326
13,17,18,Burger,2024-07-28,18:16:47,Completed,618
14,26,47,Burger,2023-05-22,18:31:05,Completed,292
15,10,21,Dal Makhani,2024-11-27,16:38:04,Completed,570
16,30,68,Mutton Rogan Josh,2024-07-20,23:00:43,Completed,729
17,18,44,Paneer Butter Masala,2023-10-28,16:10:29,Completed,449
18,33,23,Hyderabadi Biryani,2023-04-19,23:40:19,Completed,383
19,10,48,Dal Makhani,2023-06-15,18:49:59,Completed,180
20,21,63,Chicken Biryani,2023-04-25,15:56:53,Completed,425
21,4,31,Samosa,2024-08-03,11:05:46,Completed,250
22,9,17,Fish Curry,2024-05-01,18:10:16,Completed,613
23,14,70,Dal Makhani,2024-12-07,13:45:19,Completed,562
24,29,67,Butter Chicken,2023-05-04,13:14:04,Completed,201
25,15,29,Chicken Biryani,2023-03-14,21:40:03,Completed,249
26,3,43,Paneer Butter Masala,2024-06-10,13:17:42,Completed,399
27,9,61,Burger,2024-04-29,22:26:12,Completed,279
28,28,46,Paneer Lababdar,2024-02-25,17:55:46,Completed,280
29,4,52,Egg Curry,2023-12-14,22:55:06,Completed,376
30,13,69,Butter Chicken,2023-05-24,16:11:17,Completed,435
31,5,57,Dal Makhani,2024-07-17,11:03:41,Completed,195
32,6,31,Masala Dosa,2024-02-21,17:30:13,Completed,240
33,11,49,Chicken Biryani,2024-02-04,14:59:50,Completed,472
34,28,63,Masala Dosa,2023-07-14,14:13:03,Completed,735
35,4,41,Chicken Biryani,2023-02-21,19:30:32,Completed,341
36,4,66,Paneer Butter Masala,2023-07-10,11:38:04,Completed,593
37,8,32,Chole Bhature,2024-08-31,10:39:05,Completed,715
38,21,34,Burger,2024-11-16,21:20:15,Completed,585
39,9,39,Butter Chicken,2023-11-20,22:59:04,Completed,649
40,7,10,Hyderabadi Biryani,2023-08-07,18:16:08,Completed,250
41,16,48,Mutton Rogan Josh,2023-06-11,17:53:34,Completed,721
42,1,71,Mutton Rogan Josh,2024-11-10,11:56:08,Completed,298
43,7,71,Masala Dosa,2023-10-06,14:38:13,Completed,388
44,17,65,Butter Chicken,2023-09-15,23:03:05,Completed,463
45,3,1,Pasta Alfredo,2023-05-14,20:16:10,Completed,744
46,28,2,Paneer Butter Masala,2023-03-19,21:57:09,Completed,216
47,24,71,Masala Dosa,2024-03-16,12:02:19,Completed,220
48,23,27,Fish Curry,2023-09-13,20:06:22,Completed,596
49,10,31,Prawn Masala,2023-06-16,22:51:11,Completed,205
50,12,43,Dal Makhani,2024-02-26,22:42:55,Completed,453
51,11,14,Paneer Lababdar,2023-02-09,23:30:14,Completed,651
52,23,40,Prawn Masala,2023-08-22,13:01:42,Completed,588
53,22,36,Prawn Masala,2023-03-13,22:17:22,Completed,589
54,22,4,Paneer Butter Masala,2023-09-25,12:37:16,Completed,291
55,28,45,Egg Curry,2023-11-18,16:38:32,Completed,574
56,13,33,Chicken Biryani,2024-12-26,16:00:33,Completed,381
57,24,56,Paneer Butter Masala,2024-11-11,15:39:20,Completed,487
58,33,40,Fish Curry,2024-02-23,15:25:44,Completed,747
59,9,25,Paneer Lababdar,2024-11-11,16:43:47,Completed,488
60,26,71,Prawn Masala,2023-01-01,14:18:13,Completed,509
61,30,57,Butter Chicken,2024-11-22,13:32:30,Completed,266
62,19,66,Fish Curry,2024-10-10,19:21:05,Completed,497
63,15,26,Masala Dosa,2023-01-26,10:15:30,Completed,254
64,30,54,Samosa,2024-10-06,19:12:45,Completed,686
65,26,32,Masala Dosa,2024-11-02,21:00:57,Completed,615
66,15,23,Dal Makhani,2024-12-13,18:29:03,Completed,435
67,8,59,Masala Dosa,2024-04-20,20:33:35,Completed,504
68,29,65,Paneer Lababdar,2024-07-15,17:57:10,Completed,640
69,17,32,Prawn Masala,2024-10-14,14:49:49,Completed,676
70,16,36,Butter Chicken,2023-03-21,21:18:15,Completed,523
71,21,70,Paneer Butter Masala,2023-05-22,12:14:24,Completed,399
72,5,54,Paneer Lababdar,2023-12-05,18:29:26,Completed,391
73,27,50,Samosa,2024-08-21,21:01:54,Completed,569
74,31,1,Pasta Alfredo,2023-11-02,22:24:54,Completed,731
75,15,63,Burger,2023-10-07,16:31:01,Completed,524
76,26,22,Prawn Masala,2024-04-23,12:39:34,Completed,583
77,2,11,Fish Curry,2024-03-14,12:55:29,Completed,231
78,17,49,Pasta Alfredo,2023-08-05,17:20:21,Completed,464
79,27,33,Prawn Masala,2023-03-25,17:01:47,Completed,233
80,23,29,Fish Curry,2023-03-12,22:41:02,Completed,433
